player,total_runs,bat_avg,bat_sr,total_fours,total_sixes,centuries,fifties,seasons_batted,last_season_bat,total_wickets,bowl_avg,economy,bowl_sr,seasons_bowled,last_season_bowl,best_economy,avg_dots_per_spell,inn_wickets,max_sr_inn,avg_sr_inn,max_6s_inn,max_4s_inn,role,bat_impact,bowl_impact,overall_impact,powerplay_bowler,death_bowler,finisher,anchor,runs_3yr_avg,sr_3yr_avg,wkts_3yr_avg,econ_3yr_avg
Abhishek Jhunjhunwala,217.0,12.443333333333333,86.02999999999999,19.0,5.0,0.0,1.0,3.0,2012.0,1.0,12.666666666666666,9.503333333333332,12.0,3.0,2012.0,4.33,8.0,1.0,125.0,121.38499999999999,1.0,5.0,allrounder,9.885419965452309,20.354019068363332,15.119719516907821,False,False,False,False,72.33333333333333,86.02999999999999,0.3333333333333333,9.503333333333332
Abhishek Nayar,672.0,17.89,107.81714285714285,55.0,20.0,0.0,0.0,7.0,2014.0,9.0,33.2,9.884,22.9,5.0,2013.0,4.33,8.0,4.0,466.66,226.595625,3.0,6.0,allrounder,14.870329796597352,22.39543734953571,18.632883573066533,False,False,False,False,51.333333333333336,91.24,1.3333333333333333,10.903333333333334
Abhishek Raut,194.0,22.5,115.98666666666666,13.0,7.0,0.0,0.0,3.0,2011.0,0.0,0.0,8.0,0.0,2.0,2011.0,0.0,0.0,0.0,300.0,203.138,2.0,4.0,allrounder,14.755427565052074,0.0,7.377713782526037,False,True,False,False,64.66666666666667,115.98666666666666,0.0,8.0
Abhishek Sharma,667.0,25.692,136.292,64.0,25.0,0.0,2.0,5.0,2022.0,7.0,27.5,8.666666666666666,19.0,3.0,2021.0,4.5,8.0,2.0,400.0,155.19279999999998,4.0,8.0,allrounder,19.569322859247468,22.06432228973212,20.816822574489795,False,True,False,False,198.33333333333334,130.18666666666667,2.3333333333333335,8.666666666666666
Abrar Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,1.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,10.5
Abu Nechim,14.0,5.0,300.0,3.0,0.0,0.0,0.0,2.0,2015.0,7.0,45.165,8.365,28.665,4.0,2015.0,4.5,7.0,1.0,0.0,0.0,0.0,0.0,bowler,16.836800344252993,20.64386774427758,20.64386774427758,False,True,False,False,7.0,300.0,2.3333333333333335,8.32
Adam Gilchrist,2069.0,28.12833333333333,137.34833333333333,239.0,92.0,2.0,11.0,6.0,2013.0,1.0,0.0,0.0,1.0,1.0,2013.0,0.0,0.0,0.0,475.0,230.90341463414637,10.0,10.0,batter,34.3261869320693,0.19125683060109291,34.3261869320693,False,True,False,False,283.0,126.16000000000001,1.0,0.0
Adam Milne,23.0,5.75,76.22,0.0,1.0,0.0,0.0,2.0,2021.0,7.0,43.77333333333333,9.89,26.666666666666668,3.0,2021.0,5.25,14.0,2.0,0.0,0.0,0.0,0.0,bowler,5.9773732670393995,31.295091520501355,31.295091520501355,False,False,False,False,11.5,76.22,2.3333333333333335,9.89
Adam Voges,181.0,45.25,126.57,15.0,3.0,0.0,0.0,1.0,2010.0,0.0,0.0,8.44,0.0,1.0,2010.0,4.5,3.0,0.0,280.0,211.89333333333335,2.0,5.0,allrounder,23.240513323137854,14.134615384615383,18.687564353876617,False,True,False,True,181.0,126.57,0.0,8.44
Adam Zampa,5.0,2.5,35.71,1.0,0.0,0.0,0.0,2.0,2017.0,21.0,26.286666666666665,7.776666666666666,19.5,3.0,2020.0,3.0,10.0,12.0,0.0,0.0,0.0,0.0,bowler,2.696351862947752,25.48492491115442,25.48492491115442,False,True,False,False,2.5,35.71,7.0,7.776666666666666
Adil Rashid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66,0.0,1.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,11.66
Aditya Dole,34.0,17.0,154.54,3.0,1.0,0.0,0.0,1.0,2010.0,5.0,22.4,10.18,13.2,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,13.948803872526506,0.9562841530054645,0.9562841530054645,False,False,False,False,34.0,154.54,5.0,10.18
Aditya Tare,339.0,11.641666666666666,104.63499999999999,40.0,11.0,0.0,1.0,6.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,177.24166666666667,2.0,8.0,batter,11.158155449386161,0.0,11.158155449386161,False,True,False,False,13.333333333333334,71.31333333333333,0.0,0.0
Adrian Barath,42.0,21.0,100.0,5.0,1.0,0.0,0.0,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.22,122.22,1.0,4.0,batter,12.679166853242908,0.0,12.679166853242908,False,True,False,False,42.0,100.0,0.0,0.0
Aiden Blizzard,120.0,20.0,137.93,21.0,2.0,0.0,1.0,1.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.33,208.5475,2.0,8.0,batter,14.726454864880544,0.0,14.726454864880544,False,True,False,False,120.0,137.93,0.0,0.0
Aiden Markram,527.0,38.415,130.865,37.0,23.0,0.0,3.0,2.0,2022.0,1.0,32.0,8.205,18.0,2.0,2022.0,0.0,0.0,0.0,188.88,145.76399999999998,4.0,6.0,allrounder,23.43822415618953,0.19125683060109291,11.814740493395313,False,True,False,True,263.5,130.865,0.5,8.205
Ajantha Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,8.0,33.75,7.015,29.0,4.0,2013.0,3.75,9.0,7.0,0.0,0.0,0.0,0.0,bowler,0.0,22.627082616836713,22.627082616836713,False,True,False,False,0.0,0.0,2.3333333333333335,7.353333333333333
Ajinkya Rahane,4074.0,26.400714285714287,111.18928571428572,431.0,80.0,2.0,28.0,14.0,2022.0,1.0,5.0,5.0,6.0,1.0,2009.0,0.0,0.0,0.0,400.0,158.03513513513514,5.0,16.0,allrounder,42.78102678869375,0.19125683060109291,21.48614180964742,False,True,False,False,84.66666666666667,103.16666666666667,1.0,5.0
Ajit Agarkar,179.0,20.56,112.55199999999999,13.0,5.0,0.0,0.0,5.0,2013.0,29.0,32.913333333333334,8.905,22.06833333333333,6.0,2013.0,3.75,14.333333333333334,6.0,233.33,164.0325,2.0,3.0,allrounder,13.778882178073882,33.13968818067179,23.459285179372834,False,True,False,False,19.666666666666668,109.86333333333334,3.6666666666666665,9.030000000000001
Ajit Chandila,4.0,0.0,66.66,0.0,0.0,0.0,0.0,1.0,2013.0,11.0,21.6,6.1899999999999995,20.9,2.0,2013.0,3.0,11.4,9.0,0.0,0.0,0.0,0.0,bowler,3.3480966183574883,24.810992968779853,24.810992968779853,True,True,False,False,4.0,66.66,5.5,6.1899999999999995
Akash Deep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,10.88,22.6,1.0,2022.0,5.0,8.666666666666666,1.0,0.0,0.0,0.0,0.0,bowler,0.0,23.498533570254885,23.498533570254885,False,False,False,False,0.0,0.0,5.0,10.88
Akash Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,1.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,9.75
Akila Dananjaya,4.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,2018.0,0.0,0.0,11.75,0.0,1.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,4.015096618357488,0.0,0.0,False,False,False,False,4.0,80.0,0.0,11.75
Akshath Reddy,164.0,18.665,106.905,15.0,2.0,0.0,0.0,2.0,2013.0,1.0,32.0,10.66,18.0,1.0,2012.0,0.0,0.0,0.0,216.66,216.66,1.0,1.0,allrounder,12.67976457956725,0.19125683060109291,6.435510705084171,False,False,False,False,82.0,106.905,1.0,10.66
Akshdeep Nath,90.0,6.965,62.5775,7.0,2.0,0.0,0.0,4.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.33,158.33,0.0,4.0,batter,6.009630638749549,0.0,6.009630638749549,False,True,False,False,23.333333333333332,58.74666666666667,0.0,0.0
