POS,player,matches,innings,overs,runs_conceded,wickets,best_bowling,bowl_avg,economy,bowl_sr,four_wickets,five_wickets,season,source
86,Vidyut Sivaramakrishnan,9,1,2.0,22.0,1.0,1/22,22.0,11.0,12.0,0,0,2008,most_wickets
87,Brett Geeves,2,2,8.0,91.0,1.0,1/50,91.0,11.37,48.0,0,0,2008,most_wickets
88,Wilkin Mota,4,2,3.0,36.0,1.0,1/24,36.0,12.0,18.0,0,0,2008,most_wickets
89,Iqbal Abdulla,1,1,3.0,22.0,0.0,0/22,0.0,7.33,0.0,0,0,2008,most_wickets
90,Ravindra Jadeja,14,2,2.1,21.0,0.0,0/0,0.0,9.69,0.0,0,0,2008,most_wickets
91,Pankaj Singh,5,5,12.0,129.0,0.0,0/12,0.0,10.75,0.0,0,0,2008,most_wickets
92,Vikrant Yeligati,2,2,5.0,59.0,0.0,0/16,0.0,11.8,0.0,0,0,2008,most_wickets
93,Karan Goel,7,1,2.0,25.0,0.0,0/25,0.0,12.5,0.0,0,0,2008,most_wickets
94,Abdur Razzak,1,1,2.0,29.0,0.0,0/29,0.0,14.5,0.0,0,0,2008,most_wickets
95,Andrew Symonds,4,3,6.5,101.0,0.0,0/20,0.0,14.78,0.0,0,0,2008,most_wickets
96,Chamara Kapugedera,5,3,2.5,49.0,0.0,0/8,0.0,17.29,0.0,0,0,2008,most_wickets
97,LPC Silva,3,1,1.0,21.0,0.0,0/21,0.0,21.0,0.0,0,0,2008,most_wickets
98,Cameron White,8,1,1.0,24.0,0.0,0/24,0.0,24.0,0.0,0,0,2008,most_wickets
1,RP Singh,16,16,59.4,417.0,23.0,4/22,18.13,6.98,15.56,1,0,2009,most_wickets
2,Anil Kumble,16,16,59.1,347.0,21.0,5/5,16.52,5.86,16.9,1,1,2009,most_wickets
3,Lasith Malinga,13,13,49.3,312.0,18.0,3/11,17.33,6.3,16.5,0,0,2009,most_wickets
4,Pragyan Ojha,15,15,53.3,348.0,18.0,3/21,19.33,6.5,17.83,0,0,2009,most_wickets
5,Irfan Pathan,14,14,50.2,390.0,17.0,3/35,22.94,7.74,17.76,0,0,2009,most_wickets
6,Munaf Patel,11,11,34.5,241.0,16.0,2/14,15.06,6.91,13.06,0,0,2009,most_wickets
7,Muttiah Muralitharan,13,13,50.0,261.0,14.0,3/11,18.64,5.22,21.42,0,0,2009,most_wickets
8,Amit Mishra,11,11,42.1,294.0,14.0,3/14,21.0,6.97,18.07,0,0,2009,most_wickets
9,Shane Warne,13,13,50.0,365.0,14.0,3/24,26.07,7.3,21.42,0,0,2009,most_wickets
10,Yusuf Abdulla,9,9,28.0,241.0,14.0,4/31,17.21,8.6,12.0,2,0,2009,most_wickets
11,Shadab Jakati,9,8,29.0,217.0,13.0,4/22,16.69,7.48,13.38,2,0,2009,most_wickets
12,Praveen Kumar,13,13,49.4,394.0,13.0,3/30,30.3,7.93,22.92,0,0,2009,most_wickets
13,Albie Morkel,12,12,40.0,324.0,13.0,2/13,24.92,8.1,18.46,0,0,2009,most_wickets
14,Lakshmipathy Balaji,13,13,37.2,316.0,13.0,4/21,24.3,8.46,17.23,1,0,2009,most_wickets
15,Harbhajan Singh,13,13,44.0,256.0,12.0,4/17,21.33,5.81,22.0,1,0,2009,most_wickets
16,Piyush Chawla,14,14,44.5,308.0,12.0,2/22,25.66,6.86,22.41,0,0,2009,most_wickets
17,Ishant Sharma,11,11,43.0,297.0,11.0,2/15,27.0,6.9,23.45,0,0,2009,most_wickets
18,Ishant Sharma,11,11,43.0,297.0,11.0,2/15,27.0,6.9,23.45,0,0,2009,most_wickets
19,Rohit Sharma,16,12,23.0,161.0,11.0,4/6,14.63,7.0,12.54,1,0,2009,most_wickets
20,Dwayne Bravo,11,11,33.1,259.0,11.0,3/34,23.54,7.8,18.09,0,0,2009,most_wickets
21,Amit Singh,5,5,17.3,95.0,9.0,4/19,10.55,5.42,11.66,1,0,2009,most_wickets
22,Roelof van der Merwe,10,10,34.0,248.0,9.0,2/22,27.55,7.29,22.66,0,0,2009,most_wickets
23,Vinay Kumar,11,11,32.2,271.0,9.0,2/30,30.11,8.38,21.55,0,0,2009,most_wickets
24,Suresh Raina,14,10,27.4,164.0,7.0,2/17,23.42,5.92,23.71,0,0,2009,most_wickets
25,Andrew Symonds,8,8,24.0,160.0,7.0,2/18,22.85,6.66,20.57,0,0,2009,most_wickets
26,Yusuf Pathan,13,11,35.0,243.0,7.0,3/34,34.71,6.94,30.0,0,0,2009,most_wickets
27,Brad Hodge,12,9,20.0,161.0,7.0,3/29,23.0,8.05,17.14,0,0,2009,most_wickets
28,Sanath Jayasuriya,12,9,19.0,163.0,7.0,2/3,23.28,8.57,16.28,0,0,2009,most_wickets
29,Ravindra Jadeja,13,10,23.2,151.0,6.0,3/15,25.16,6.47,23.33,0,0,2009,most_wickets
30,Zaheer Khan,6,6,21.0,142.0,6.0,3/31,23.66,6.76,21.0,0,0,2009,most_wickets
31,Dimitri Mascarenhas,5,5,19.2,132.0,6.0,3/20,22.0,6.82,19.33,0,0,2009,most_wickets
32,Kamran Khan,5,5,17.4,124.0,6.0,3/18,20.66,7.01,17.66,0,0,2009,most_wickets
33,Yuvraj Singh,14,9,20.0,142.0,6.0,3/13,23.66,7.1,20.0,0,0,2009,most_wickets
34,Ryan Harris,8,8,31.0,230.0,6.0,3/27,38.33,7.41,31.0,0,0,2009,most_wickets
35,Siddharth Trivedi,7,7,20.0,152.0,6.0,2/19,25.33,7.6,20.0,0,0,2009,most_wickets
36,Jacques Kallis,15,14,46.0,353.0,6.0,2/18,58.83,7.67,46.0,0,0,2009,most_wickets
37,Shanthakumaran Sreesanth,7,7,23.0,192.0,6.0,2/20,32.0,8.34,23.0,0,0,2009,most_wickets
38,Ajit Agarkar,11,11,31.0,284.0,6.0,2/15,47.33,9.16,31.0,0,0,2009,most_wickets
39,Brett Lee,5,5,20.0,111.0,5.0,3/15,22.2,5.55,24.0,0,0,2009,most_wickets
40,Ramesh Powar,9,8,21.0,132.0,5.0,2/11,26.4,6.28,25.2,0,0,2009,most_wickets
41,Sudeep Tyagi,8,8,19.0,136.0,5.0,2/18,27.2,7.15,22.8,0,0,2009,most_wickets
42,Tirumalasetti Suman,12,5,15.0,108.0,5.0,2/14,21.6,7.2,18.0,0,0,2009,most_wickets
43,Dhawal Kulkarni,8,8,26.0,206.0,5.0,1/21,41.2,7.92,31.2,0,0,2009,most_wickets
44,Scott Styris,2,2,8.0,64.0,5.0,3/32,12.8,8.0,9.6,0,0,2009,most_wickets
45,Jacob Oram,11,7,15.3,133.0,5.0,2/12,26.6,8.58,18.6,0,0,2009,most_wickets
46,Shoaib Ahmed,7,7,17.0,152.0,5.0,2/20,30.4,8.94,20.4,0,0,2009,most_wickets
47,Manpreet Gony,7,7,17.0,172.0,5.0,2/32,34.4,10.11,20.4,0,0,2009,most_wickets
48,JP Duminy,13,6,17.3,93.0,4.0,2/15,23.25,5.31,26.25,0,0,2009,most_wickets
49,Murali Kartik,10,10,34.0,201.0,4.0,2/28,50.25,5.91,51.0,0,0,2009,most_wickets
50,Kevin Pietersen,6,4,13.0,85.0,4.0,2/31,21.25,6.53,19.5,0,0,2009,most_wickets
51,Abhishek Nayar,13,4,12.0,84.0,4.0,3/13,21.0,7.0,18.0,0,0,2009,most_wickets
52,Balachandra Akhil,6,5,11.0,80.0,4.0,2/18,20.0,7.27,16.5,0,0,2009,most_wickets
53,Dillon du Preez,2,2,7.0,56.0,4.0,3/32,14.0,8.0,10.5,0,0,2009,most_wickets
54,Ashok Dinda,9,8,24.0,193.0,4.0,1/24,48.25,8.04,36.0,0,0,2009,most_wickets
55,Venugopal Rao,16,6,15.0,122.0,4.0,2/23,30.5,8.13,22.5,0,0,2009,most_wickets
56,Chaminda Vaas,2,2,8.0,71.0,4.0,2/19,17.75,8.87,12.0,0,0,2009,most_wickets
57,Charl Langeveldt,1,1,4.0,15.0,3.0,3/15,5.0,3.75,8.0,0,0,2009,most_wickets
58,Johan Botha,3,3,12.0,74.0,3.0,2/19,24.66,6.16,24.0,0,0,2009,most_wickets
59,Jesse Ryder,5,5,17.0,115.0,3.0,2/14,38.33,6.76,34.0,0,0,2009,most_wickets
60,Wilkin Mota,8,5,9.0,61.0,3.0,1/6,20.33,6.77,18.0,0,0,2009,most_wickets
61,Laxmi Ratan Shukla,9,5,14.0,100.0,3.0,3/25,33.33,7.14,28.0,0,0,2009,most_wickets
62,Shane Harwood,3,3,10.0,73.0,3.0,2/25,24.33,7.3,20.0,0,0,2009,most_wickets
63,Ajantha Mendis,4,4,16.0,117.0,3.0,2/19,39.0,7.31,32.0,0,0,2009,most_wickets
64,Thilan Thushara,2,2,8.0,60.0,3.0,2/28,20.0,7.5,16.0,0,0,2009,most_wickets
65,Harmeet Singh Bansal,7,7,22.5,192.0,3.0,2/23,64.0,8.4,45.66,0,0,2009,most_wickets
66,Ravichandran Ashwin,2,1,4.0,13.0,2.0,2/13,6.5,3.25,12.0,0,0,2009,most_wickets
67,Dale Steyn,3,3,9.0,62.0,2.0,1/21,31.0,6.88,27.0,0,0,2009,most_wickets
68,Chetanya Nanda,3,3,8.0,57.0,2.0,1/4,28.5,7.12,24.0,0,0,2009,most_wickets
69,KP Appanna,5,5,12.0,87.0,2.0,1/24,43.5,7.25,36.0,0,0,2009,most_wickets
70,Sourav Ganguly,13,6,12.0,97.0,2.0,2/24,48.5,8.08,36.0,0,0,2009,most_wickets
71,Joginder Sharma,4,4,7.0,57.0,2.0,1/10,28.5,8.14,21.0,0,0,2009,most_wickets
72,Vikramjeet Malik,5,5,12.0,98.0,2.0,1/12,49.0,8.16,36.0,0,0,2009,most_wickets
73,Moises Henriques,4,4,12.1,107.0,2.0,1/32,53.5,8.79,36.5,0,0,2009,most_wickets
74,Pankaj Singh,3,3,7.0,65.0,2.0,2/31,32.5,9.28,21.0,0,0,2009,most_wickets
75,Anureet Singh,3,2,5.0,47.0,2.0,2/35,23.5,9.4,15.0,0,0,2009,most_wickets
76,Andrew Flintoff,3,3,11.0,105.0,2.0,1/11,52.5,9.54,33.0,0,0,2009,most_wickets
77,Ajinkya Rahane,8,1,1.0,5.0,1.0,1/5,5.0,5.0,6.0,0,0,2009,most_wickets
78,Lee Carseldine,5,1,1.0,6.0,1.0,1/6,6.0,6.0,6.0,0,0,2009,most_wickets
79,Tyron Henderson,2,2,6.0,40.0,1.0,1/30,40.0,6.66,36.0,0,0,2009,most_wickets
80,Graham Napier,1,1,4.0,27.0,1.0,1/27,27.0,6.75,24.0,0,0,2009,most_wickets
81,Chris Gayle,7,7,18.5,144.0,1.0,1/21,144.0,7.64,113.0,0,0,2009,most_wickets
82,Dwayne Smith,8,8,14.0,124.0,1.0,1/25,124.0,8.85,84.0,0,0,2009,most_wickets
83,Vikram Singh,5,4,9.0,82.0,1.0,1/22,82.0,9.11,54.0,0,0,2009,most_wickets
84,Rohan Raje,4,4,6.5,72.0,1.0,1/25,72.0,10.53,41.0,0,0,2009,most_wickets
85,Ravi Bopara,5,2,1.2,5.0,0.0,0/1,0.0,3.75,0.0,0,0,2009,most_wickets
86,Morne Morkel,2,2,7.0,40.0,0.0,0/20,0.0,5.71,0.0,0,0,2009,most_wickets
87,Karan Goel,9,4,8.0,61.0,0.0,0/11,0.0,7.62,0.0,0,0,2009,most_wickets
88,Virat Kohli,16,3,6.0,46.0,0.0,0/9,0.0,7.66,0.0,0,0,2009,most_wickets
89,David Hussey,4,3,4.0,34.0,0.0,0/6,0.0,8.5,0.0,0,0,2009,most_wickets
90,Abhishek Raut,9,4,4.0,36.0,0.0,0/6,0.0,9.0,0.0,0,0,2009,most_wickets
91,Sachin Tendulkar,13,4,6.0,58.0,0.0,0/7,0.0,9.66,0.0,0,0,2009,most_wickets
92,Abhimanyu Mithun,1,1,4.0,42.0,0.0,0/42,0.0,10.5,0.0,0,0,2009,most_wickets
93,Jaskaran Singh,2,1,3.0,32.0,0.0,0/32,0.0,10.66,0.0,0,0,2009,most_wickets
94,Rahil Shaikh,1,1,1.0,11.0,0.0,0/11,0.0,11.0,0.0,0,0,2009,most_wickets
95,Ranadeb Bose,1,1,2.0,24.0,0.0,0/24,0.0,12.0,0.0,0,0,2009,most_wickets
96,Ross Taylor,11,1,1.0,13.0,0.0,0/13,0.0,13.0,0.0,0,0,2009,most_wickets
97,Angelo Mathews,1,1,2.2,31.0,0.0,0/31,0.0,13.28,0.0,0,0,2009,most_wickets
98,Mashrafe Mortaza,1,1,4.0,58.0,0.0,0/58,0.0,14.5,0.0,0,0,2009,most_wickets
1,Pragyan Ojha,16,16,58.5,429.0,21.0,3/26,20.42,7.29,16.8,0,0,2010,most_wickets
2,Anil Kumble,16,16,63.2,407.0,17.0,4/16,23.94,6.42,22.35,1,0,2010,most_wickets
3,Amit Mishra,14,14,53.0,363.0,17.0,3/25,21.35,6.84,18.7,0,0,2010,most_wickets
4,Harbhajan Singh,15,14,53.3,377.0,17.0,3/31,22.17,7.04,18.88,0,0,2010,most_wickets
5,Vinay Kumar,14,14,46.1,396.0,16.0,4/40,24.75,8.57,17.31,1,0,2010,most_wickets
6,Muttiah Muralitharan,12,12,48.0,329.0,15.0,3/16,21.93,6.85,19.2,0,0,2010,most_wickets
7,Dale Steyn,15,15,59.0,406.0,15.0,3/18,27.06,6.88,23.6,0,0,2010,most_wickets
8,Lasith Malinga,13,13,49.0,344.0,15.0,4/22,22.93,7.02,19.6,1,0,2010,most_wickets
9,Kieron Pollard,14,12,37.0,274.0,15.0,3/17,18.26,7.4,14.8,0,0,2010,most_wickets
10,Zaheer Khan,14,14,48.2,376.0,15.0,3/21,25.06,7.77,19.33,0,0,2010,most_wickets
11,Irfan Pathan,14,14,46.2,426.0,15.0,3/24,28.4,9.19,18.53,0,0,2010,most_wickets
12,Ryan Harris,8,8,30.4,233.0,14.0,3/18,16.64,7.59,13.14,0,0,2010,most_wickets
13,Ravichandran Ashwin,12,12,48.0,293.0,13.0,3/16,22.53,6.1,22.15,0,0,2010,most_wickets
14,Shadab Jakati,11,11,38.0,291.0,13.0,2/17,22.38,7.65,17.53,0,0,2010,most_wickets
15,Jacques Kallis,16,16,57.0,476.0,13.0,2/3,36.61,8.35,26.3,0,0,2010,most_wickets
16,RP Singh,12,12,42.0,370.0,13.0,3/17,28.46,8.8,19.38,0,0,2010,most_wickets
17,Doug Bollinger,8,8,31.0,207.0,12.0,4/13,17.25,6.67,15.5,1,0,2010,most_wickets
18,Andrew Symonds,16,16,53.0,372.0,12.0,3/21,31.0,7.01,26.5,0,0,2010,most_wickets
19,Piyush Chawla,14,14,49.0,367.0,12.0,3/24,30.58,7.48,24.5,0,0,2010,most_wickets
20,Siddharth Trivedi,11,10,35.3,260.0,11.0,3/16,23.63,7.32,19.36,0,0,2010,most_wickets
21,Shane Warne,14,14,50.0,381.0,11.0,4/21,34.63,7.62,27.27,1,0,2010,most_wickets
22,Albie Morkel,14,14,47.4,405.0,11.0,2/23,36.81,8.49,26.0,0,0,2010,most_wickets
23,Praveen Kumar,12,12,45.0,380.0,10.0,3/18,38.0,8.44,27.0,0,0,2010,most_wickets
24,Shaun Tait,8,8,31.1,264.0,10.0,3/22,26.4,8.47,18.7,0,0,2010,most_wickets
25,Chaminda Vaas,6,6,22.0,139.0,9.0,3/21,15.44,6.31,14.66,0,0,2010,most_wickets
26,Murali Kartik,10,10,39.0,253.0,9.0,2/20,28.11,6.48,26.0,0,0,2010,most_wickets
27,Ashok Dinda,7,7,23.1,152.0,9.0,2/15,16.88,6.56,15.44,0,0,2010,most_wickets
28,Shane Bond,8,8,31.0,224.0,9.0,2/24,24.88,7.22,20.66,0,0,2010,most_wickets
29,Pradeep Sangwan,8,8,31.0,258.0,9.0,3/22,28.66,8.32,20.66,0,0,2010,most_wickets
30,Harmeet Singh Bansal,8,8,24.0,174.0,8.0,2/24,21.75,7.25,18.0,0,0,2010,most_wickets
31,Angelo Mathews,14,12,37.3,314.0,8.0,4/19,39.25,8.37,28.12,1,0,2010,most_wickets
32,MF Maharoof,7,7,24.0,206.0,8.0,2/13,25.75,8.58,18.0,0,0,2010,most_wickets
33,Dirk Nannes,9,9,34.2,224.0,7.0,2/12,32.0,6.52,29.42,0,0,2010,most_wickets
34,Dilhara Fernando,5,5,19.0,138.0,7.0,2/23,19.71,7.26,16.28,0,0,2010,most_wickets
35,Lakshmipathy Balaji,7,7,23.2,207.0,7.0,2/9,29.57,8.87,20.0,0,0,2010,most_wickets
36,Ishant Sharma,7,7,25.0,236.0,7.0,2/33,33.71,9.44,21.42,0,0,2010,most_wickets
37,Ashish Nehra,4,4,14.0,96.0,6.0,3/26,16.0,6.85,14.0,0,0,2010,most_wickets
38,Suresh Raina,16,12,23.5,178.0,6.0,1/0,29.66,7.46,23.83,0,0,2010,most_wickets
39,Umesh Yadav,7,7,24.0,184.0,6.0,2/24,30.66,7.66,24.0,0,0,2010,most_wickets
40,Juan Theron,7,7,24.0,187.0,6.0,2/17,31.16,7.79,24.0,0,0,2010,most_wickets
41,Shane Watson,6,6,22.0,184.0,6.0,3/37,30.66,8.36,22.0,0,0,2010,most_wickets
42,Shalabh Srivastava,8,8,27.0,255.0,6.0,2/23,42.5,9.44,27.0,0,0,2010,most_wickets
43,Jaskaran Singh,6,6,14.0,139.0,6.0,2/18,23.16,9.92,14.0,0,0,2010,most_wickets
44,Yuvraj Singh,14,10,23.0,152.0,5.0,2/21,30.4,6.6,27.6,0,0,2010,most_wickets
45,Paul Collingwood,8,6,14.5,101.0,5.0,2/19,20.2,6.8,17.8,0,0,2010,most_wickets
46,Thilan Thushara,4,4,14.3,101.0,5.0,2/16,20.2,6.96,17.4,0,0,2010,most_wickets
47,Yusuf Pathan,14,11,34.0,246.0,5.0,2/9,49.2,7.23,40.8,0,0,2010,most_wickets
48,Charl Langeveldt,3,3,11.0,88.0,5.0,2/26,17.6,8.0,13.2,0,0,2010,most_wickets
49,Rahul Sharma,6,6,20.4,167.0,5.0,2/42,33.4,8.08,24.8,0,0,2010,most_wickets
50,Ravi Bopara,10,5,13.0,127.0,5.0,3/31,25.4,9.76,15.6,0,0,2010,most_wickets
51,Andrew McDonald,4,4,14.0,138.0,5.0,2/37,27.6,9.85,16.8,0,0,2010,most_wickets
52,Aditya Dole,3,3,11.0,112.0,5.0,2/36,22.4,10.18,13.2,0,0,2010,most_wickets
53,Sumit Narwal,5,5,15.4,185.0,5.0,3/36,37.0,11.8,18.8,0,0,2010,most_wickets
54,Ryan McLaren,10,10,34.0,270.0,4.0,2/28,67.5,7.94,51.0,0,0,2010,most_wickets
55,Dimitri Mascarenhas,2,2,8.0,65.0,4.0,2/31,16.25,8.12,12.0,0,0,2010,most_wickets
56,Jaydev Unadkat,3,3,10.2,85.0,4.0,3/26,21.25,8.22,15.5,0,0,2010,most_wickets
57,Dwayne Bravo,10,10,26.1,228.0,4.0,2/11,57.0,8.71,39.25,0,0,2010,most_wickets
58,Ajit Agarkar,7,7,22.0,203.0,4.0,2/32,50.75,9.22,33.0,0,0,2010,most_wickets
59,Chris Gayle,9,6,16.0,152.0,4.0,1/9,38.0,9.5,24.0,0,0,2010,most_wickets
60,Sarabjit Ladda,5,5,15.0,143.0,4.0,2/44,35.75,9.53,22.5,0,0,2010,most_wickets
61,Virender Sehwag,14,3,5.4,23.0,3.0,2/18,7.66,4.05,11.33,0,0,2010,most_wickets
62,Ramesh Powar,7,7,23.0,160.0,3.0,2/28,53.33,6.95,46.0,0,0,2010,most_wickets
63,JM Kemp,5,5,7.2,54.0,3.0,3/12,18.0,7.36,14.66,0,0,2010,most_wickets
64,Ali Murtaza,3,3,12.0,91.0,3.0,2/18,30.33,7.58,24.0,0,0,2010,most_wickets
65,Kevin Pietersen,7,6,10.0,77.0,3.0,1/10,25.66,7.7,20.0,0,0,2010,most_wickets
66,Rajat Bhatia,5,5,16.0,132.0,3.0,1/24,44.0,8.25,32.0,0,0,2010,most_wickets
67,Tillakaratne Dilshan,6,4,8.1,70.0,3.0,1/7,23.33,8.57,16.33,0,0,2010,most_wickets
68,Kamran Khan,3,3,6.0,53.0,3.0,2/13,17.66,8.83,12.0,0,0,2010,most_wickets
69,Laxmi Ratan Shukla,4,4,12.0,106.0,3.0,1/30,35.33,8.83,24.0,0,0,2010,most_wickets
70,Love Ablish,2,2,4.0,36.0,3.0,2/17,12.0,9.0,8.0,0,0,2010,most_wickets
71,Munaf Patel,4,4,13.0,118.0,3.0,1/20,39.33,9.07,26.0,0,0,2010,most_wickets
72,Bipul Sharma,5,4,10.0,94.0,3.0,1/19,31.33,9.4,20.0,0,0,2010,most_wickets
73,Shanthakumaran Sreesanth,6,6,19.0,191.0,3.0,2/24,63.66,10.05,38.0,0,0,2010,most_wickets
74,Roelof van der Merwe,1,1,4.0,27.0,2.0,2/27,13.5,6.75,12.0,0,0,2010,most_wickets
75,Sanath Jayasuriya,4,4,9.0,68.0,2.0,2/17,34.0,7.55,27.0,0,0,2010,most_wickets
76,Rohit Sharma,16,9,19.0,153.0,2.0,1/19,76.5,8.05,57.0,0,0,2010,most_wickets
77,Brad Hodge,4,4,5.0,41.0,2.0,1/4,20.5,8.2,15.0,0,0,2010,most_wickets
78,Ajantha Mendis,2,2,8.0,66.0,2.0,2/22,33.0,8.25,24.0,0,0,2010,most_wickets
79,Daniel Vettori,3,3,11.4,97.0,2.0,1/30,48.5,8.31,35.0,0,0,2010,most_wickets
80,Mitchell Marsh,3,3,10.0,88.0,2.0,1/19,44.0,8.8,30.0,0,0,2010,most_wickets
81,Pankaj Singh,2,2,8.0,81.0,2.0,2/27,40.5,10.12,24.0,0,0,2010,most_wickets
82,Rajagopal Sathish,12,4,8.0,81.0,2.0,1/11,40.5,10.12,24.0,0,0,2010,most_wickets
83,Amit Uniyal,2,2,6.0,66.0,2.0,2/41,33.0,11.0,18.0,0,0,2010,most_wickets
84,Joginder Sharma,3,3,8.0,89.0,2.0,1/23,44.5,11.12,24.0,0,0,2010,most_wickets
85,Nayan Doshi,1,1,4.0,17.0,1.0,1/17,17.0,4.25,24.0,0,0,2010,most_wickets
86,JP Duminy,7,2,5.3,37.0,1.0,1/15,37.0,6.72,33.0,0,0,2010,most_wickets
87,Iqbal Abdulla,3,3,8.3,61.0,1.0,1/28,61.0,7.17,51.0,0,0,2010,most_wickets
88,KP Appanna,2,2,7.0,51.0,1.0,1/24,51.0,7.28,42.0,0,0,2010,most_wickets
89,Yo Mahesh,1,1,3.0,23.0,1.0,1/23,23.0,7.66,18.0,0,0,2010,most_wickets
90,Vikramjeet Malik,3,3,7.1,62.0,1.0,1/23,62.0,8.65,43.0,0,0,2010,most_wickets
91,Moises Henriques,1,1,4.0,35.0,1.0,1/35,35.0,8.75,24.0,0,0,2010,most_wickets
92,Dwayne Smith,3,2,3.5,36.0,1.0,1/22,36.0,9.39,23.0,0,0,2010,most_wickets
93,Yusuf Abdulla,2,2,6.5,66.0,1.0,1/30,66.0,9.65,41.0,0,0,2010,most_wickets
94,Dhawal Kulkarni,1,1,4.0,40.0,1.0,1/40,40.0,10.0,24.0,0,0,2010,most_wickets
95,Sudeep Tyagi,6,6,15.5,159.0,1.0,1/20,159.0,10.04,95.0,0,0,2010,most_wickets
96,Manoj Tiwary,13,1,1.0,11.0,1.0,1/11,11.0,11.0,6.0,0,0,2010,most_wickets
97,Manpreet Gony,3,3,8.0,92.0,1.0,1/33,92.0,11.5,48.0,0,0,2010,most_wickets
98,Abhimanyu Mithun,1,1,3.0,39.0,1.0,1/39,39.0,13.0,18.0,0,0,2010,most_wickets
99,Shrikant Wagh,1,1,1.0,16.0,1.0,1/16,16.0,16.0,6.0,0,0,2010,most_wickets
100,Aaron Finch,1,1,1.1,5.0,0.0,0/5,0.0,4.28,0.0,0,0,2010,most_wickets
101,Balachandra Akhil,1,1,1.0,6.0,0.0,0/6,0.0,6.0,0.0,0,0,2010,most_wickets
102,Karan Goel,6,1,1.0,7.0,0.0,0/7,0.0,7.0,0.0,0,0,2010,most_wickets
103,David Hussey,6,5,10.0,80.0,0.0,0/7,0.0,8.0,0.0,0,0,2010,most_wickets
104,Rohan Gavaskar,2,1,1.0,8.0,0.0,0/8,0.0,8.0,0.0,0,0,2010,most_wickets
105,Adam Voges,9,7,9.0,76.0,0.0,0/5,0.0,8.44,0.0,0,0,2010,most_wickets
106,Stuart Binny,1,1,1.0,9.0,0.0,0/9,0.0,9.0,0.0,0,0,2010,most_wickets
107,Virat Kohli,16,4,5.2,50.0,0.0,0/1,0.0,9.37,0.0,0,0,2010,most_wickets
108,Morne Morkel,2,2,7.0,66.0,0.0,0/32,0.0,9.42,0.0,0,0,2010,most_wickets
109,Kemar Roach,2,2,8.0,80.0,0.0,0/32,0.0,10.0,0.0,0,0,2010,most_wickets
110,Faiz Fazal,10,2,2.0,20.0,0.0,0/6,0.0,10.0,0.0,0,0,2010,most_wickets
111,Venugopal Rao,6,1,1.0,10.0,0.0,0/10,0.0,10.0,0.0,0,0,2010,most_wickets
112,Brett Lee,4,4,14.3,149.0,0.0,0/24,0.0,10.27,0.0,0,0,2010,most_wickets
113,Sourav Ganguly,14,3,4.0,43.0,0.0,0/12,0.0,10.75,0.0,0,0,2010,most_wickets
114,Abhishek Jhunjhunwala,13,5,6.1,69.0,0.0,0/2,0.0,11.18,0.0,0,0,2010,most_wickets
115,Sridharan Sriram,1,1,2.0,24.0,0.0,0/24,0.0,12.0,0.0,0,0,2010,most_wickets
116,Tirumalasetti Suman,14,2,2.0,24.0,0.0,0/8,0.0,12.0,0.0,0,0,2010,most_wickets
117,Chandrasekar Ganapathy,1,1,1.0,13.0,0.0,0/13,0.0,13.0,0.0,0,0,2010,most_wickets
118,Thisara Perera,1,1,1.0,19.0,0.0,0/19,0.0,19.0,0.0,0,0,2010,most_wickets
119,Cameron White,7,1,1.0,19.0,0.0,0/19,0.0,19.0,0.0,0,0,2010,most_wickets
1,Lasith Malinga,16,16,63.0,375.0,28.0,5/13,13.39,5.95,13.5,0,1,2011,most_wickets
2,Munaf Patel,15,15,54.2,358.0,22.0,5/21,16.27,6.58,14.81,0,1,2011,most_wickets
3,Sreenath Aravind,13,13,46.0,368.0,21.0,4/14,17.52,8.0,13.14,1,0,2011,most_wickets
4,Ravichandran Ashwin,16,16,63.0,388.0,20.0,3/16,19.4,6.15,18.9,0,0,2011,most_wickets
5,Amit Mishra,14,14,53.2,358.0,19.0,4/9,18.84,6.71,16.84,1,0,2011,most_wickets
6,Doug Bollinger,13,13,47.0,329.0,17.0,3/21,19.35,7.0,16.58,0,0,2011,most_wickets
7,Rahul Sharma,14,14,50.0,273.0,16.0,3/13,17.06,5.46,18.75,0,0,2011,most_wickets
8,Iqbal Abdulla,15,15,50.0,305.0,16.0,3/24,19.06,6.1,18.75,0,0,2011,most_wickets
9,Ryan Harris,13,13,47.0,382.0,16.0,3/28,23.87,8.12,17.62,0,0,2011,most_wickets
10,Piyush Chawla,12,12,41.2,336.0,16.0,4/17,21.0,8.12,15.5,1,0,2011,most_wickets
11,Albie Morkel,15,14,45.0,382.0,15.0,3/29,25.46,8.48,18.0,0,0,2011,most_wickets
12,Dale Steyn,12,12,45.3,299.0,14.0,3/16,21.35,6.57,19.5,0,0,2011,most_wickets
13,Harbhajan Singh,15,15,53.0,370.0,14.0,5/18,26.42,6.98,22.71,0,1,2011,most_wickets
14,Zaheer Khan,15,15,59.0,455.0,14.0,3/32,32.5,7.71,25.28,0,0,2011,most_wickets
15,Yusuf Pathan,15,14,39.0,238.0,13.0,3/20,18.3,6.1,18.0,0,0,2011,most_wickets
16,Shane Warne,13,12,47.0,297.0,13.0,3/16,22.84,6.31,21.69,0,0,2011,most_wickets
17,RP Singh,14,14,50.0,345.0,13.0,4/25,26.53,6.9,23.07,1,0,2011,most_wickets
