POS,player,matches,innings,overs,runs_conceded,wickets,best_bowling,bowl_avg,economy,bowl_sr,four_wickets,five_wickets,season,source
3,Deepak Chahar,17,17,64.3,482.0,22.0,3/20,21.9,7.47,17.59,0,0,2019,most_wickets
4,Shreyas Gopal,14,14,48.0,347.0,20.0,3/12,17.35,7.22,14.4,0,0,2019,most_wickets
5,Jasprit Bumrah,16,16,61.4,409.0,19.0,3/20,21.52,6.63,19.47,0,0,2019,most_wickets
6,Khaleel Ahmed,9,9,34.5,287.0,19.0,3/30,15.1,8.23,11.0,0,0,2019,most_wickets
7,Mohammad Shami,14,14,54.0,469.0,19.0,3/21,24.68,8.68,17.05,0,0,2019,most_wickets
8,Yuzvendra Chahal,14,14,49.2,386.0,18.0,4/38,21.44,7.82,16.44,1,0,2019,most_wickets
9,Rashid Khan,15,15,60.0,377.0,17.0,3/21,22.17,6.28,21.17,0,0,2019,most_wickets
10,Harbhajan Singh,11,11,44.0,312.0,16.0,3/20,19.5,7.09,16.5,0,0,2019,most_wickets
11,Lasith Malinga,12,12,44.5,438.0,16.0,4/31,27.37,9.76,16.81,2,0,2019,most_wickets
12,Ravindra Jadeja,16,16,54.0,343.0,15.0,3/9,22.86,6.35,21.6,0,0,2019,most_wickets
13,Ravichandran Ashwin,14,14,55.0,400.0,15.0,3/23,26.66,7.27,22.0,0,0,2019,most_wickets
14,Hardik Pandya,16,16,42.3,390.0,14.0,3/20,27.85,9.17,18.21,0,0,2019,most_wickets
15,Rahul Chahar,13,13,47.0,308.0,13.0,3/19,23.69,6.55,21.69,0,0,2019,most_wickets
16,Ishant Sharma,13,13,46.0,349.0,13.0,3/38,26.84,7.58,21.23,0,0,2019,most_wickets
17,Bhuvneshwar Kumar,15,15,59.0,461.0,13.0,2/24,35.46,7.81,27.23,0,0,2019,most_wickets
18,Chris Morris,9,9,33.0,306.0,13.0,3/22,23.53,9.27,15.23,0,0,2019,most_wickets
19,Krunal Pandya,16,16,46.0,335.0,12.0,3/34,27.91,7.28,23.0,0,0,2019,most_wickets
20,Sandeep Sharma,11,11,42.4,352.0,12.0,3/19,29.33,8.25,21.33,0,0,2019,most_wickets
21,Amit Mishra,11,11,40.0,270.0,11.0,3/17,24.54,6.75,21.81,0,0,2019,most_wickets
22,Jofra Archer,11,11,43.0,291.0,11.0,3/15,26.45,6.76,23.45,0,0,2019,most_wickets
23,Dwayne Bravo,12,12,41.1,330.0,11.0,3/33,30.0,8.01,22.45,0,0,2019,most_wickets
24,Navdeep Saini,13,13,48.0,397.0,11.0,2/24,36.09,8.27,26.18,0,0,2019,most_wickets
25,Andre Russell,14,12,30.1,287.0,11.0,2/21,26.09,9.51,16.45,0,0,2019,most_wickets
26,Axar Patel,14,14,51.0,364.0,10.0,2/22,36.4,7.13,30.6,0,0,2019,most_wickets
27,Sunil Narine,12,12,44.2,347.0,10.0,2/19,34.7,7.82,26.6,0,0,2019,most_wickets
28,Piyush Chawla,13,13,44.3,399.0,10.0,3/20,39.9,8.96,26.7,0,0,2019,most_wickets
29,Sam Curran,9,9,33.0,323.0,10.0,4/11,32.3,9.78,19.8,1,0,2019,most_wickets
30,Jaydev Unadkat,11,11,37.2,398.0,10.0,2/26,39.8,10.66,22.4,0,0,2019,most_wickets
31,Keemo Paul,8,8,27.1,237.0,9.0,3/17,26.33,8.72,18.11,0,0,2019,most_wickets
32,Mohammad Nabi,8,8,29.1,194.0,8.0,4/11,24.25,6.65,21.87,1,0,2019,most_wickets
