player,opponent,opp_sr,opp_runs,opp_6s
Devdutt Padikkal,RCB,118.38666666666666,81.0,5.0
Devdutt Padikkal,RR,164.4675,287.0,13.0
Devdutt Padikkal,SRH,138.69000000000003,138.0,4.0
Devon Conway,DC,177.55,174.0,10.0
Devon Conway,RCB,151.35,112.0,4.0
Devon Conway,RR,114.28,32.0,2.0
Devon Conway,SRH,154.54,170.0,8.0
Dewald Brevis,DC,112.12,74.0,6.0
Dewald Brevis,KKR,152.63,58.0,4.0
Dewald Brevis,LSG,238.46,62.0,2.0
Dewald Brevis,PBKS,196.0,98.0,10.0
Dewald Brevis,RCB,72.72,8.0,0.0
Dhawal Kulkarni,CSK,147.36,28.0,2.0
Dinesh Karthik,CSK,180.622,384.0,22.0
Dinesh Karthik,DC,165.34636363636363,644.0,27.0
Dinesh Karthik,DEC,170.37,92.0,4.0
Dinesh Karthik,KKR,176.0411111111111,355.0,14.0
Dinesh Karthik,KTK,209.09,138.0,10.0
Dinesh Karthik,LSG,161.40666666666667,87.0,3.0
Dinesh Karthik,MI,192.25,233.0,10.0
Dinesh Karthik,PBKS,178.73923076923077,606.0,22.0
Dinesh Karthik,RCB,162.16,60.0,4.0
Dinesh Karthik,RPS,165.0,33.0,0.0
Dinesh Karthik,RR,173.543,561.0,33.0
Dinesh Karthik,SRH,271.78499999999997,128.0,12.0
Dinesh Salunkhe,DC,130.0,26.0,0.0
Dishant Yagnik,MI,182.35,31.0,0.0
Dominic Thornely,DC,125.0,30.0,2.0
Dushmantha Chameera,PBKS,170.0,17.0,2.0
Dushmantha Chameera,RCB,275.0,22.0,2.0
Dushmantha Chameera,RR,185.71,13.0,0.0
Dwaine Pretorius,MI,157.14,44.0,2.0
Dwaine Pretorius,PBKS,200.0,8.0,1.0
Dwaine Pretorius,RCB,162.5,26.0,2.0
Dwaraka Ravi Teja,CSK,142.85,40.0,1.0
Dwaraka Ravi Teja,MI,137.03,37.0,3.0
Dwaraka Ravi Teja,PBKS,146.34,120.0,4.0
Dwayne Bravo,DC,195.82999999999998,68.0,4.0
Dwayne Bravo,DEC,207.675,73.0,7.0
Dwayne Bravo,KKR,120.75,64.0,1.0
Dwayne Bravo,MI,207.4675,136.0,13.0
Dwayne Bravo,PBKS,122.9375,218.0,11.0
Dwayne Bravo,RCB,125.0,50.0,2.0
Dwayne Bravo,RR,177.10333333333332,109.0,1.0
Dwayne Bravo,SRH,180.0,28.0,0.0
Dwayne Smith,CSK,221.54857142857142,297.0,22.0
Dwayne Smith,DC,159.37571428571428,394.0,26.0
Dwayne Smith,KKR,125.48000000000002,136.0,6.0
Dwayne Smith,MI,148.821,457.0,25.0
Dwayne Smith,PBKS,177.288,306.0,16.0
Dwayne Smith,RCB,163.63666666666666,301.0,21.0
Dwayne Smith,RPS,163.465,110.0,2.0
